<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP [TQBR],Daily,20200928,000000,174.240000,175.380000,171.290000,172.740000,5039797.000000
GAZP [TQBR],Daily,20200929,000000,172.760000,173.470000,170.000000,171.440000,4877960.000000
GAZP [TQBR],Daily,20200930,000000,171.020000,171.980000,169.800000,169.970000,4860510.000000
GAZP [TQBR],Daily,20201001,000000,171.180000,171.400000,167.970000,168.400000,6029637.000000
GAZP [TQBR],Daily,20201002,000000,167.500000,169.950000,167.220000,169.470000,4019113.000000
GAZP [TQBR],Daily,20201005,000000,170.120000,170.880000,168.580000,170.640000,3739302.000000
GAZP [TQBR],Daily,20201006,000000,170.700000,173.410000,170.500000,171.350000,6408298.000000
GAZP [TQBR],Daily,20201007,000000,171.750000,172.260000,167.040000,168.230000,6580010.000000
GAZP [TQBR],Daily,20201008,000000,168.180000,168.860000,166.150000,167.430000,3662135.000000
GAZP [TQBR],Daily,20201009,000000,167.800000,168.190000,165.770000,166.970000,4151491.000000
GAZP [TQBR],Daily,20201012,000000,167.660000,169.800000,166.870000,169.050000,3889959.000000
GAZP [TQBR],Daily,20201013,000000,169.130000,169.470000,165.820000,166.370000,3468799.000000
GAZP [TQBR],Daily,20201014,000000,166.610000,167.630000,165.710000,167.240000,2667974.000000
GAZP [TQBR],Daily,20201015,000000,166.870000,168.850000,166.000000,167.160000,3990491.000000
GAZP [TQBR],Daily,20201016,000000,167.240000,167.250000,163.560000,163.980000,5041560.000000
GAZP [TQBR],Daily,20201019,000000,165.000000,165.600000,163.000000,163.600000,3405719.000000
GAZP [TQBR],Daily,20201020,000000,163.740000,167.120000,162.800000,166.530000,5047910.000000
GAZP [TQBR],Daily,20201021,000000,166.800000,167.300000,163.870000,164.370000,3669253.000000
GAZP [TQBR],Daily,20201022,000000,163.870000,166.530000,163.660000,165.270000,3996563.000000
GAZP [TQBR],Daily,20201023,000000,165.150000,165.880000,164.390000,164.960000,3292765.000000
GAZP [TQBR],Daily,20201026,000000,164.440000,164.960000,161.100000,162.170000,5350330.000000
GAZP [TQBR],Daily,20201027,000000,162.110000,162.620000,158.210000,159.210000,5829036.000000
GAZP [TQBR],Daily,20201028,000000,158.980000,158.990000,153.700000,154.300000,8690033.000000
GAZP [TQBR],Daily,20201029,000000,155.010000,157.300000,154.200000,156.740000,5278261.000000
GAZP [TQBR],Daily,20201030,000000,155.000000,156.200000,154.080000,154.280000,4272114.000000
GAZP [TQBR],Daily,20201102,000000,153.980000,157.980000,151.900000,157.740000,6972776.000000
GAZP [TQBR],Daily,20201103,000000,158.210000,161.920000,157.440000,161.090000,7112215.000000
GAZP [TQBR],Daily,20201105,000000,163.800000,165.250000,161.990000,163.700000,7327922.000000
GAZP [TQBR],Daily,20201106,000000,163.000000,165.840000,161.520000,164.920000,5168103.000000
GAZP [TQBR],Daily,20201109,000000,166.720000,171.500000,164.900000,170.130000,10345063.000000
GAZP [TQBR],Daily,20201110,000000,169.030000,173.640000,167.630000,172.920000,7669166.000000
GAZP [TQBR],Daily,20201111,000000,173.500000,175.150000,170.260000,170.530000,7204474.000000
GAZP [TQBR],Daily,20201112,000000,170.000000,175.300000,169.750000,172.910000,7199919.000000
GAZP [TQBR],Daily,20201113,000000,172.900000,181.270000,172.420000,180.300000,10461754.000000
GAZP [TQBR],Daily,20201116,000000,181.010000,185.620000,180.300000,185.320000,8964923.000000
GAZP [TQBR],Daily,20201117,000000,185.050000,185.310000,178.830000,182.900000,9934537.000000
GAZP [TQBR],Daily,20201118,000000,182.200000,187.690000,180.800000,185.000000,6912557.000000
GAZP [TQBR],Daily,20201119,000000,185.200000,185.880000,181.920000,184.160000,5323221.000000
GAZP [TQBR],Daily,20201120,000000,184.100000,184.360000,182.100000,183.210000,3187692.000000
GAZP [TQBR],Daily,20201123,000000,183.620000,185.630000,182.770000,184.150000,4107721.000000
GAZP [TQBR],Daily,20201124,000000,185.090000,187.300000,183.970000,186.760000,6074316.000000
GAZP [TQBR],Daily,20201125,000000,187.000000,188.760000,185.850000,188.030000,5114842.000000
GAZP [TQBR],Daily,20201126,000000,188.240000,189.100000,184.600000,185.520000,4575774.000000
GAZP [TQBR],Daily,20201127,000000,185.040000,186.750000,182.560000,185.900000,5001145.000000
GAZP [TQBR],Daily,20201130,000000,185.130000,185.140000,180.040000,181.890000,7329513.000000
GAZP [TQBR],Daily,20201201,000000,182.600000,188.090000,181.780000,185.340000,6729028.000000
GAZP [TQBR],Daily,20201202,000000,185.000000,187.240000,183.120000,187.220000,4025176.000000
GAZP [TQBR],Daily,20201203,000000,186.990000,187.580000,184.370000,185.120000,3590391.000000
GAZP [TQBR],Daily,20201204,000000,186.210000,189.420000,185.850000,188.790000,5072180.000000
GAZP [TQBR],Daily,20201207,000000,188.220000,192.850000,187.800000,190.760000,5354137.000000
GAZP [TQBR],Daily,20201208,000000,190.350000,191.450000,187.800000,190.000000,4844644.000000
GAZP [TQBR],Daily,20201209,000000,190.300000,193.090000,189.050000,189.350000,5269785.000000
GAZP [TQBR],Daily,20201210,000000,189.550000,193.510000,188.670000,192.950000,5436505.000000
GAZP [TQBR],Daily,20201211,000000,193.010000,201.630000,192.310000,201.500000,10307132.000000
GAZP [TQBR],Daily,20201214,000000,203.500000,207.850000,198.780000,199.910000,12334792.000000
GAZP [TQBR],Daily,20201215,000000,199.010000,202.290000,197.050000,201.000000,6556670.000000
GAZP [TQBR],Daily,20201216,000000,201.000000,206.200000,199.540000,206.200000,7524928.000000
GAZP [TQBR],Daily,20201217,000000,206.690000,215.380000,206.510000,214.520000,15962579.000000
GAZP [TQBR],Daily,20201218,000000,214.000000,214.500000,207.220000,212.690000,13380369.000000
GAZP [TQBR],Daily,20201221,000000,209.970000,209.990000,200.800000,203.460000,12367202.000000
GAZP [TQBR],Daily,20201222,000000,200.700000,210.680000,199.190000,208.400000,10999391.000000
GAZP [TQBR],Daily,20201223,000000,209.000000,212.780000,206.200000,207.630000,7892444.000000
GAZP [TQBR],Daily,20201224,000000,208.520000,209.960000,203.150000,206.240000,5917450.000000
GAZP [TQBR],Daily,20201225,000000,206.200000,206.730000,204.010000,205.030000,1653326.000000
GAZP [TQBR],Daily,20201228,000000,205.530000,207.860000,205.150000,206.110000,3505675.000000
GAZP [TQBR],Daily,20201229,000000,206.980000,210.000000,206.610000,208.750000,4237230.000000
GAZP [TQBR],Daily,20201230,000000,209.880000,213.380000,209.500000,212.980000,7473689.000000
GAZP [TQBR],Daily,20210104,000000,212.710000,216.630000,211.640000,212.710000,5545873.000000
GAZP [TQBR],Daily,20210105,000000,213.200000,215.380000,210.220000,215.320000,4893781.000000
GAZP [TQBR],Daily,20210106,000000,215.500000,216.800000,213.070000,214.380000,4794519.000000
GAZP [TQBR],Daily,20210108,000000,217.120000,226.240000,217.000000,225.490000,10104469.000000
GAZP [TQBR],Daily,20210111,000000,225.170000,231.000000,221.810000,227.600000,11270887.000000
GAZP [TQBR],Daily,20210112,000000,229.000000,231.440000,225.660000,228.690000,6440023.000000
GAZP [TQBR],Daily,20210113,000000,229.290000,230.350000,225.200000,226.800000,6113797.000000
GAZP [TQBR],Daily,20210114,000000,226.150000,229.570000,223.200000,228.860000,6021996.000000
GAZP [TQBR],Daily,20210115,000000,227.500000,230.700000,226.000000,226.500000,5481026.000000
GAZP [TQBR],Daily,20210118,000000,225.550000,228.500000,221.340000,226.880000,6917756.000000
GAZP [TQBR],Daily,20210119,000000,227.650000,228.850000,223.000000,223.150000,6667892.000000
GAZP [TQBR],Daily,20210120,000000,223.000000,225.780000,221.550000,224.300000,5124865.000000
GAZP [TQBR],Daily,20210121,000000,224.400000,224.960000,217.220000,217.280000,7670127.000000
GAZP [TQBR],Daily,20210122,000000,216.450000,216.500000,210.500000,215.490000,9472132.000000
GAZP [TQBR],Daily,20210125,000000,216.900000,219.660000,214.530000,218.680000,7445654.000000
GAZP [TQBR],Daily,20210126,000000,216.800000,220.290000,215.710000,218.800000,4511465.000000
GAZP [TQBR],Daily,20210127,000000,219.490000,222.000000,216.440000,217.400000,5927176.000000
GAZP [TQBR],Daily,20210128,000000,215.910000,219.490000,214.260000,217.700000,5234100.000000
GAZP [TQBR],Daily,20210129,000000,216.750000,216.750000,212.470000,212.830000,6674458.000000
GAZP [TQBR],Daily,20210201,000000,214.610000,214.870000,212.240000,214.660000,3931442.000000
GAZP [TQBR],Daily,20210202,000000,215.500000,219.740000,213.250000,214.420000,7792488.000000
GAZP [TQBR],Daily,20210203,000000,215.410000,218.420000,213.790000,218.100000,4597489.000000
GAZP [TQBR],Daily,20210204,000000,218.700000,221.400000,216.880000,219.790000,4794372.000000
GAZP [TQBR],Daily,20210205,000000,220.680000,222.210000,219.000000,222.010000,4221942.000000
GAZP [TQBR],Daily,20210208,000000,223.040000,228.000000,223.000000,228.000000,6720733.000000
GAZP [TQBR],Daily,20210209,000000,229.000000,229.490000,225.800000,227.730000,6064359.000000
GAZP [TQBR],Daily,20210210,000000,227.980000,228.290000,221.800000,223.240000,4190237.000000
GAZP [TQBR],Daily,20210211,000000,223.490000,223.670000,220.730000,221.350000,3455103.000000
GAZP [TQBR],Daily,20210212,000000,220.600000,227.470000,216.770000,226.710000,6924544.000000
GAZP [TQBR],Daily,20210215,000000,228.490000,230.000000,226.700000,229.220000,5994668.000000
GAZP [TQBR],Daily,20210216,000000,230.000000,233.220000,227.570000,232.460000,8602355.000000
GAZP [TQBR],Daily,20210217,000000,232.320000,233.350000,225.330000,229.140000,6455341.000000
GAZP [TQBR],Daily,20210218,000000,229.000000,229.000000,224.010000,224.470000,4378825.000000
GAZP [TQBR],Daily,20210219,000000,224.010000,226.260000,221.100000,226.000000,4489938.000000
GAZP [TQBR],Daily,20210220,000000,226.400000,227.100000,225.000000,225.840000,606053.000000
GAZP [TQBR],Daily,20210222,000000,226.460000,227.300000,223.040000,225.630000,3145952.000000
GAZP [TQBR],Daily,20210224,000000,224.420000,225.640000,220.850000,222.550000,4087271.000000
GAZP [TQBR],Daily,20210225,000000,223.470000,225.500000,221.220000,221.700000,4275174.000000
GAZP [TQBR],Daily,20210226,000000,220.560000,221.680000,217.200000,217.560000,6383848.000000
GAZP [TQBR],Daily,20210301,000000,219.330000,222.010000,218.250000,221.470000,2841248.000000
GAZP [TQBR],Daily,20210302,000000,220.000000,224.110000,219.760000,222.740000,3420497.000000
GAZP [TQBR],Daily,20210303,000000,224.200000,226.790000,221.700000,222.150000,3327309.000000
GAZP [TQBR],Daily,20210304,000000,221.900000,226.690000,219.500000,221.140000,4645010.000000
GAZP [TQBR],Daily,20210305,000000,222.010000,228.420000,220.020000,227.000000,5580481.000000
GAZP [TQBR],Daily,20210309,000000,227.500000,233.070000,226.050000,232.100000,7381041.000000
GAZP [TQBR],Daily,20210310,000000,231.870000,235.500000,230.660000,231.690000,5539192.000000
GAZP [TQBR],Daily,20210311,000000,232.890000,233.530000,230.070000,232.470000,3216063.000000
GAZP [TQBR],Daily,20210312,000000,232.000000,234.390000,230.600000,233.800000,2883688.000000
GAZP [TQBR],Daily,20210315,000000,234.980000,238.090000,234.460000,237.790000,4619389.000000
GAZP [TQBR],Daily,20210316,000000,237.300000,238.230000,233.800000,234.020000,3808800.000000
GAZP [TQBR],Daily,20210317,000000,233.850000,234.560000,227.210000,229.900000,6211204.000000
GAZP [TQBR],Daily,20210318,000000,230.000000,231.790000,223.700000,224.350000,6760651.000000
GAZP [TQBR],Daily,20210319,000000,222.750000,226.640000,222.370000,225.400000,5880615.000000
GAZP [TQBR],Daily,20210322,000000,225.140000,225.340000,220.790000,221.880000,5849781.000000
GAZP [TQBR],Daily,20210323,000000,221.200000,224.440000,219.810000,221.620000,4313074.000000
GAZP [TQBR],Daily,20210324,000000,222.350000,225.450000,220.530000,223.650000,3671781.000000
GAZP [TQBR],Daily,20210325,000000,224.200000,225.380000,222.700000,224.840000,2976850.000000
GAZP [TQBR],Daily,20210326,000000,225.700000,227.600000,225.130000,227.300000,2676578.000000
GAZP [TQBR],Daily,20210329,000000,226.790000,229.150000,226.310000,228.740000,2377340.000000
GAZP [TQBR],Daily,20210330,000000,228.950000,230.100000,225.040000,225.930000,2682116.000000
GAZP [TQBR],Daily,20210331,000000,226.400000,228.400000,223.320000,227.240000,3885348.000000
GAZP [TQBR],Daily,20210401,000000,228.400000,231.670000,225.750000,226.940000,4383450.000000
GAZP [TQBR],Daily,20210402,000000,227.000000,229.200000,226.540000,228.400000,1263911.000000
GAZP [TQBR],Daily,20210405,000000,227.920000,227.920000,224.130000,225.060000,2395659.000000
GAZP [TQBR],Daily,20210406,000000,226.000000,226.550000,221.910000,222.950000,3630006.000000
GAZP [TQBR],Daily,20210407,000000,222.310000,226.010000,220.680000,224.510000,2950928.000000
GAZP [TQBR],Daily,20210408,000000,224.840000,226.300000,222.880000,224.300000,1942194.000000
GAZP [TQBR],Daily,20210409,000000,224.200000,224.300000,221.480000,222.150000,2091575.000000
GAZP [TQBR],Daily,20210412,000000,220.980000,224.250000,219.600000,222.870000,2932042.000000
GAZP [TQBR],Daily,20210413,000000,223.000000,228.330000,221.100000,227.990000,3909766.000000
GAZP [TQBR],Daily,20210414,000000,230.580000,236.580000,229.310000,235.320000,9244664.000000
GAZP [TQBR],Daily,20210415,000000,230.100000,236.390000,228.230000,234.630000,6309025.000000
GAZP [TQBR],Daily,20210416,000000,235.490000,237.450000,232.700000,235.100000,4627448.000000
GAZP [TQBR],Daily,20210419,000000,234.500000,234.900000,230.280000,231.170000,3974024.000000
GAZP [TQBR],Daily,20210420,000000,231.560000,233.170000,229.000000,230.000000,4393584.000000
GAZP [TQBR],Daily,20210421,000000,230.000000,231.800000,228.370000,230.840000,3549970.000000
GAZP [TQBR],Daily,20210422,000000,230.680000,232.150000,227.140000,230.930000,6035457.000000
GAZP [TQBR],Daily,20210423,000000,231.290000,233.300000,230.000000,232.620000,3545291.000000
GAZP [TQBR],Daily,20210426,000000,233.000000,234.910000,232.160000,233.230000,2872253.000000
GAZP [TQBR],Daily,20210427,000000,233.410000,235.140000,231.210000,232.000000,2929263.000000
GAZP [TQBR],Daily,20210428,000000,232.550000,233.240000,230.200000,232.960000,3752228.000000
GAZP [TQBR],Daily,20210429,000000,234.070000,236.180000,229.000000,230.510000,5564906.000000
GAZP [TQBR],Daily,20210430,000000,230.110000,231.600000,228.860000,231.380000,3211412.000000
GAZP [TQBR],Daily,20210504,000000,232.200000,234.300000,230.960000,233.800000,3797106.000000
GAZP [TQBR],Daily,20210505,000000,234.210000,237.770000,233.690000,237.500000,3815166.000000
GAZP [TQBR],Daily,20210506,000000,237.900000,243.320000,237.750000,243.000000,5039253.000000
GAZP [TQBR],Daily,20210507,000000,243.490000,243.990000,240.780000,241.700000,3720219.000000
GAZP [TQBR],Daily,20210510,000000,242.350000,244.300000,240.520000,241.410000,3241973.000000
GAZP [TQBR],Daily,20210511,000000,240.240000,243.170000,239.050000,242.500000,3585119.000000
GAZP [TQBR],Daily,20210512,000000,242.010000,244.420000,241.560000,241.790000,3330167.000000
GAZP [TQBR],Daily,20210513,000000,242.300000,247.290000,242.050000,247.160000,6422301.000000
GAZP [TQBR],Daily,20210514,000000,248.000000,250.400000,247.530000,249.550000,5036005.000000
GAZP [TQBR],Daily,20210517,000000,250.000000,255.250000,249.450000,255.150000,4113101.000000
GAZP [TQBR],Daily,20210518,000000,256.100000,268.380000,254.540000,266.220000,8642635.000000
GAZP [TQBR],Daily,20210519,000000,263.900000,264.500000,256.000000,260.900000,9358093.000000
GAZP [TQBR],Daily,20210520,000000,260.800000,262.780000,256.900000,259.160000,4656117.000000
GAZP [TQBR],Daily,20210521,000000,260.040000,260.700000,257.120000,258.000000,2912120.000000
GAZP [TQBR],Daily,20210524,000000,258.580000,261.470000,257.120000,261.240000,2467916.000000
GAZP [TQBR],Daily,20210525,000000,262.310000,262.720000,258.310000,259.790000,3071007.000000
GAZP [TQBR],Daily,20210526,000000,260.520000,263.330000,260.010000,263.090000,3467938.000000
GAZP [TQBR],Daily,20210527,000000,261.980000,263.750000,261.220000,262.960000,5762250.000000
GAZP [TQBR],Daily,20210528,000000,263.790000,265.930000,261.350000,262.000000,3530083.000000
GAZP [TQBR],Daily,20210531,000000,261.000000,261.600000,259.300000,261.030000,2150182.000000
GAZP [TQBR],Daily,20210601,000000,261.970000,264.760000,261.580000,263.860000,3276330.000000
GAZP [TQBR],Daily,20210602,000000,264.050000,271.360000,263.550000,271.150000,5335804.000000
GAZP [TQBR],Daily,20210603,000000,272.310000,274.300000,268.200000,272.100000,5291146.000000
GAZP [TQBR],Daily,20210604,000000,271.990000,276.220000,269.580000,274.300000,5441378.000000
GAZP [TQBR],Daily,20210607,000000,274.010000,276.700000,273.850000,275.670000,3431927.000000
GAZP [TQBR],Daily,20210608,000000,275.350000,277.580000,272.910000,275.360000,5312374.000000
GAZP [TQBR],Daily,20210609,000000,275.980000,276.390000,273.760000,275.650000,2826593.000000
GAZP [TQBR],Daily,20210610,000000,275.490000,277.770000,274.320000,276.100000,3726444.000000
GAZP [TQBR],Daily,20210611,000000,276.580000,278.000000,274.850000,277.050000,2662183.000000
GAZP [TQBR],Daily,20210614,000000,277.560000,280.450000,277.220000,279.500000,2819327.000000
GAZP [TQBR],Daily,20210615,000000,279.920000,280.140000,272.630000,272.720000,5223230.000000
GAZP [TQBR],Daily,20210616,000000,272.900000,275.230000,270.120000,271.800000,6726373.000000
GAZP [TQBR],Daily,20210617,000000,270.900000,273.890000,269.100000,272.500000,4367463.000000
GAZP [TQBR],Daily,20210618,000000,271.540000,273.180000,268.650000,270.060000,5272878.000000
GAZP [TQBR],Daily,20210621,000000,269.780000,272.860000,268.090000,272.620000,2745456.000000
GAZP [TQBR],Daily,20210622,000000,273.500000,277.000000,272.890000,277.000000,3698407.000000
GAZP [TQBR],Daily,20210623,000000,277.890000,279.560000,276.670000,277.350000,3361855.000000
GAZP [TQBR],Daily,20210624,000000,278.200000,279.470000,275.500000,277.470000,4258540.000000
GAZP [TQBR],Daily,20210625,000000,277.800000,277.920000,276.120000,277.190000,2972297.000000
GAZP [TQBR],Daily,20210628,000000,277.220000,279.610000,276.430000,276.990000,2809916.000000
GAZP [TQBR],Daily,20210629,000000,276.120000,277.500000,273.170000,276.800000,3763380.000000
GAZP [TQBR],Daily,20210630,000000,277.270000,281.820000,276.500000,281.800000,6039602.000000
GAZP [TQBR],Daily,20210701,000000,281.850000,286.250000,281.850000,285.740000,5011521.000000
GAZP [TQBR],Daily,20210702,000000,285.590000,286.190000,282.800000,285.650000,2933998.000000
GAZP [TQBR],Daily,20210705,000000,286.000000,291.490000,285.780000,291.100000,3424360.000000
GAZP [TQBR],Daily,20210706,000000,292.080000,295.970000,291.340000,293.450000,8038110.000000
GAZP [TQBR],Daily,20210707,000000,293.890000,297.480000,293.470000,297.390000,6707928.000000
GAZP [TQBR],Daily,20210708,000000,296.450000,297.000000,290.330000,292.860000,5274499.000000
GAZP [TQBR],Daily,20210709,000000,293.500000,295.580000,292.000000,295.220000,4098648.000000
GAZP [TQBR],Daily,20210712,000000,295.510000,298.480000,294.900000,297.390000,4336464.000000
GAZP [TQBR],Daily,20210713,000000,297.750000,297.770000,293.000000,293.830000,4931526.000000
GAZP [TQBR],Daily,20210714,000000,282.890000,286.930000,282.880000,284.600000,5294877.000000
GAZP [TQBR],Daily,20210715,000000,284.580000,285.110000,278.960000,280.010000,4172802.000000
GAZP [TQBR],Daily,20210716,000000,279.220000,282.000000,278.000000,279.650000,2798764.000000
GAZP [TQBR],Daily,20210719,000000,277.110000,279.510000,273.150000,275.510000,4283299.000000
GAZP [TQBR],Daily,20210720,000000,276.780000,278.680000,273.100000,277.300000,3104839.000000
GAZP [TQBR],Daily,20210721,000000,277.500000,285.010000,276.000000,282.900000,4110179.000000
GAZP [TQBR],Daily,20210722,000000,283.500000,285.090000,281.210000,283.280000,4028556.000000
GAZP [TQBR],Daily,20210723,000000,283.200000,285.000000,279.050000,279.510000,3827214.000000
GAZP [TQBR],Daily,20210726,000000,277.370000,281.370000,276.700000,281.050000,2743958.000000
GAZP [TQBR],Daily,20210727,000000,280.180000,280.830000,276.840000,278.080000,2847123.000000
GAZP [TQBR],Daily,20210728,000000,277.880000,282.980000,277.700000,282.200000,3286092.000000
GAZP [TQBR],Daily,20210729,000000,283.970000,287.750000,283.580000,287.000000,4135389.000000
GAZP [TQBR],Daily,20210730,000000,285.020000,287.580000,283.280000,287.350000,4677352.000000
GAZP [TQBR],Daily,20210802,000000,287.880000,289.480000,285.210000,286.750000,3839257.000000
GAZP [TQBR],Daily,20210803,000000,286.750000,288.050000,284.340000,287.090000,2707067.000000
GAZP [TQBR],Daily,20210804,000000,287.880000,288.800000,286.000000,287.940000,2363111.000000
GAZP [TQBR],Daily,20210805,000000,287.330000,288.280000,285.160000,285.950000,4726922.000000
GAZP [TQBR],Daily,20210806,000000,285.260000,285.720000,277.870000,282.270000,9079225.000000
GAZP [TQBR],Daily,20210809,000000,282.250000,287.900000,280.800000,286.680000,6895748.000000
GAZP [TQBR],Daily,20210810,000000,288.000000,288.800000,285.700000,288.610000,2892761.000000
GAZP [TQBR],Daily,20210811,000000,288.970000,291.490000,287.120000,290.350000,3796032.000000
GAZP [TQBR],Daily,20210812,000000,290.300000,293.810000,290.250000,293.230000,3765006.000000
GAZP [TQBR],Daily,20210813,000000,292.700000,293.900000,291.750000,292.700000,2191777.000000
GAZP [TQBR],Daily,20210816,000000,291.470000,295.480000,290.950000,295.100000,3241192.000000
GAZP [TQBR],Daily,20210817,000000,295.130000,299.500000,290.320000,298.320000,5052467.000000
GAZP [TQBR],Daily,20210818,000000,299.000000,299.950000,295.000000,295.050000,3561864.000000
GAZP [TQBR],Daily,20210819,000000,293.460000,294.720000,289.680000,293.680000,5627561.000000
GAZP [TQBR],Daily,20210820,000000,293.800000,294.900000,289.500000,292.570000,3864970.000000
GAZP [TQBR],Daily,20210823,000000,294.700000,297.940000,294.100000,297.690000,3810052.000000
GAZP [TQBR],Daily,20210824,000000,299.000000,301.000000,295.950000,298.700000,4906761.000000
GAZP [TQBR],Daily,20210825,000000,298.700000,299.200000,294.370000,296.700000,3092229.000000
